Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"172 W 10th St,","Pittsburg, CA 94565","$129,000","6,250 Square Feet",,"6,250 Square Feet",Garage,Vacant Land,$67,1920,Neighborhood: Old Town Pittsburg,172 days,546,9
"39 Roy Ln #39,","Bay Point, CA 94565","$179,900",2,2,"1,014",0 spaces,Mobile / Manufactured,$177,1989,Neighborhood: Bay Point,319 days,458,5
"Spring Rd,","Orinda, CA 94563","$2,499,000","6,799 Square Feet",,"6,799 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94563,189 days,206,5
"135 Woodridge Pl,","Oakley, CA 94561","$501,881",3,2,"1,354","Garage, Garage - Attached",Single Family,0.26 Acres,1984,Neighborhood: 94561,299 days,596,7
"Oakley Rd,","Oakley, CA 94561","$830,000",3.45 Acres,,3.45 Acres,0 spaces,Vacant Land,$6,No Data,Neighborhood: 94561,476 days,210,3
"Buildable plan: Residence 1, Southport at Delaney Park,","Oakley, CA 94561",from ,4,3,"2,100",No Data,Single Family,$289,2020,Neighborhood: 94561,,,
"Buildable plan: Bordeaux, Duarte Ranch,","Oakley, CA 94561",from ,4,3,"2,348",No Data,Single Family,$341,2020,Neighborhood: 94561,,,
"1171 Grapevine Ln,","Oakley, CA 94561","$1,250,000",4.56 Acres,,4.56 Acres,"Garage, Garage - Attached, Covered",Vacant Land,$581,1977,Neighborhood: 94561,135 days,420,3
"Buildable plan: Sage, Middlefield at Delaney Park,","Oakley, CA 94561",from ,4,4,"3,280",No Data,Single Family,$211,2020,Neighborhood: 94561,,,
"0 Aspen Rd,","Oakley, CA 94561","$695,000",11.37 Acres,,11.37 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94561,523 days,244,5
"1100 Bear River Ct,","Oakley, CA 94561",3,3,2.5,"1,461","Garage, Garage - Attached",Single Family,"5,662 sqft",1989,Neighborhood: 94561,284 days,475,12
"Buildable plan: Sarah, Middlefield at Delaney Park,","Oakley, CA 94561",from ,3,2,"2,160",No Data,Single Family,$277,2020,Neighborhood: 94561,,,
"620 Pipa Ln,","Oakley, CA 94561","$555,590",4,3,"1,854","3,998 sqft",Single Family,$300,2020,Neighborhood: 94561,24 days,148,4
"187 Davisco Dr,","Oakley, CA 94561","$607,709",3,2,"1,928","4,800 sqft",Single Family,$315,2020,Neighborhood: 94561,11 days,396,7
"Buildable plan: Plan 2 Modeled, Westerly at Delaney Park,","Oakley, CA 94561",from ,3,3,"1,928",No Data,Single Family,$303,2020,Neighborhood: 94561,,,
"Aspen Rd,","Oakley, CA 94561","$595,000",11.366 Acres,,11.366 Acres,0 spaces,Vacant Land,$1,No Data,Neighborhood: 94561,416 days,383,6
"Buildable plan: Residence 3, Northpoint at Delaney Park,","Oakley, CA 94561",from ,3,3,"2,007",No Data,Single Family,$287,2020,Neighborhood: 94561,,,
"322 Barn Dance Way,","Oakley, CA 94561",4,4,3,"3,486","Garage, Garage - Attached",Single Family,"8,712 sqft",2006,Neighborhood: 94561,263 days,"1,447",35
"404 Diamond Peak Ln,","Oakley, CA 94561","$875,000",4,3,"2,753","6,120 sqft",Single Family,$318,2020,Neighborhood: 94561,131 days,566,17
"4150 Sandmound Blvd,","Oakley, CA 94561","$259,000",0.52 Acres,,0.52 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94561,78 days,589,17
"405 Diamond Peak Ln,","Oakley, CA 94561","$735,000",4,3,"2,224","6,050 sqft",Single Family,$330,2020,Neighborhood: 94561,86 days,666,10
"36872 Nutmeg Ct,","Newark, CA 94560","$1,157,173",3,2,"1,593","Garage, Garage - Attached",Single Family,"7,213 sqft",1973,Neighborhood: 94560,191 days,462,2
"38178 Woodruff Dr,","Newark, CA 94560","$967,389",4,2,"1,522","Garage, Garage - Attached",Single Family,"7,187 sqft",1964,Neighborhood: 94560,277 days,997,9
"5299 Sussex Pl,","Newark, CA 94560","$1,327,403",6,2.5,"2,335","Garage, Garage - Attached",Single Family,"7,318 sqft",1967,Neighborhood: 94560,240 days,732,5
"35980 Argonne St,","Newark, CA 94560","$952,307",3,2,"1,380","Garage, Garage - Attached",Single Family,"5,967 sqft",1959,Neighborhood: 94560,370 days,438,5
"6206 Mayhews Landing Rd,","Newark, CA 94560","$764,052",3,1,942,"Garage, Garage - Attached",Single Family,"5,314 sqft",1953,Neighborhood: 94560,277 days,916,4
"7749 Peachtree Ave,","Newark, CA 94560","$902,976",3,2,"1,048","Garage, Garage - Attached",Single Family,"7,492 sqft",1971,Neighborhood: 94560,172 days,677,5
"9190 Surf Way,","Newark, CA 94560","$1,318,534",5,5,"2,573",No Data,Single Family,$512,No Data,Neighborhood: 94560,,,
"9098 Surf Way,","Newark, CA 94560","$1,308,131",5,5,"2,573",No Data,Single Family,$508,No Data,Neighborhood: 94560,,,
"37527 Sand Drift Rd,","Newark, CA 94560","$1,335,880",4,4,"2,478",No Data,Single Family,$539,No Data,Neighborhood: 94560,,,
"8909 Headlands Ave,","Newark, CA 94560","$1,255,880",4,4,"2,422",No Data,Single Family,$519,No Data,Neighborhood: 94560,,,
"9403 Ocean Park Way,","Newark, CA 94560","$961,880",3,4,"1,682",No Data,Townhouse,$572,No Data,Neighborhood: 94560,,,
"37706 Bay Breeze St,","Newark, CA 94560","$1,274,461",4,4,"2,422",No Data,Single Family,$526,2020,Neighborhood: 94560,,,
"9411 Ocean Park Way,","Newark, CA 94560","$1,011,880",4,4,"2,018",No Data,Townhouse,$501,No Data,Neighborhood: 94560,,,
"36589 Newark Blvd,","Newark, CA 94560","$1,400,000",0.53 Acres,,0.53 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94560,130 days,585,12
"31470 Medinah St,","Hayward, CA 94544","$790,262",3,2,"1,175","Garage, Garage - Attached",Single Family,"6,011 sqft",1956,Neighborhood: Fairway Park,334 days,438,1
"604 Blaine Way,","Hayward, CA 94544","$745,662",3,2,"1,236","Garage, Garage - Attached",Single Family,"8,886 sqft",1955,Neighborhood: Harder-Tennyson,300 days,436,3
"31375 Pebble Beach Ct,","Hayward, CA 94544","$797,254",3,2,"1,179","Garage, Garage - Attached",Single Family,"8,015 sqft",1955,Neighborhood: Fairway Park,235 days,626,5
"27828 Mandarin Ave,","Hayward, CA 94544","$674,806",3,2,"1,264",Carport,Single Family,"5,832 sqft",1954,Neighborhood: Tennyson-Alquire,192 days,706,2
"24644 Tioga Rd,","Hayward, CA 94544","$695,779",3,1,"1,050","Garage, Garage - Attached",Single Family,"4,922 sqft",1951,Neighborhood: Jackson Triangle,156 days,320,1
"623 E Jackson St,","Hayward, CA 94544","$5,995,000",1.86 Acres,,1.86 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Jackson Triangle,147 days,222,1
"397 Line St,","Hayward, CA 94544","$865,255",4,4,"1,885",$301/mo,Condo,$459,2020,Neighborhood: Mission-Garin,50 days,266,1
"Floor plan: Savant Plan C1, Savant at Irvington,","Fremont, CA 94539",from ,3,2,"1,118",$480/mo,Condo,$739,2020,Neighborhood: Irvington,,,
"UNIT 232,","Fremont, CA 94539","$749,800",2,2,"1,086",$480/mo,Condo,$690,2020,Neighborhood: Irvington,,,
"Floor plan: Savant Plan B7, Savant at Irvington,","Fremont, CA 94539",from ,2,2,"1,046",$480/mo,Condo,$717,2020,Neighborhood: Irvington,,,
"2348 Kinetic Cir #106,","Fremont, CA 94539","$1,109,995",2,2,"1,688",$554/mo,Condo,$658,2020,Neighborhood: Weibel,,,
"45517 Antelope Dr,","Fremont, CA 94539","$3,900,000",4.827 Acres,,4.827 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Vineyards-Avalon,136 days,827,7
"2348 Kinetic Cir #209-B3,","Fremont, CA 94539","$1,279,995",3,3,"1,886",$554/mo,Condo,$679,2020,Neighborhood: East Industrial,15 days,267,4
"UNIT 221,","Fremont, CA 94539","$628,336",1,1,"1,017",$480/mo,Condo,$618,2020,Neighborhood: Irvington,,,
"1960 Jackson Ct,","Fremont, CA 94539",: ,4,2,"2,449",0 spaces,Single Family,"8,276 sqft",1962,Neighborhood: Mission Valley,122 days,"2,268",23
"Floor plan: Savant Plan A7, Savant at Irvington,","Fremont, CA 94539",from ,1,1,"1,017",$480/mo,Condo,$618,2020,Neighborhood: Irvington,,,
"2348 Kinetic Cir #304-B3,","Fremont, CA 94539","$1,499,995",3,4,"2,465",$554/mo,Condo,$609,2020,Neighborhood: East Industrial,15 days,351,7
"Floor plan: Savant Plan A4, Savant at Irvington,","Fremont, CA 94539",from ,1,1,865,$480/mo,Condo,$670,2020,Neighborhood: Irvington,,,
"45250 Volt Ter #401,","Fremont, CA 94539","$1,688,888",3,3,"2,097",$46/mo,Condo,$805,2019,Neighborhood: East Industrial,30 days,531,17
"45128 Warm Springs Blvd #103,","Fremont, CA 94539","$899,995",2,2,"1,230",$468/mo,Condo,$732,2020,Neighborhood: Weibel,,,
"45128 Warm Springs Blvd #107,","Fremont, CA 94539","$789,995",1,1,800,$452/mo,Condo,$987,2020,Neighborhood: Weibel,,,
"Floor plan: Savant C4, Savant at Irvington,","Fremont, CA 94539",from ,3,3,"1,366",$480/mo,Condo,$643,2020,Neighborhood: Irvington,,,
"UNIT 323,","Fremont, CA 94539","$579,800",1,1,865,$480/mo,Condo,$670,2020,Neighborhood: Irvington,,,
"45900 Hidden Valley Ter,","Fremont, CA 94539","$2,000,000",2.22 Acres,,2.22 Acres,0 spaces,Vacant Land,$166/mo,No Data,Neighborhood: Vineyards-Avalon,130 days,929,7
"UNIT 523,","Fremont, CA 94539","$608,986",1,1,865,$480/mo,Condo,$704,2020,Neighborhood: Irvington,,,
"42111 Osgood Rd UNIT 423,","Fremont, CA 94539","$598,577",1,1,865,$480/mo,Condo,$692,2020,Neighborhood: Irvington,,,
"2547 Washington Blvd,","Fremont, CA 94539","$999,000",0.291 Acres,,0.291 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Mission Valley,101 days,839,16
"UNIT 521,","Fremont, CA 94539","$659,328",1,1,"1,067",$480/mo,Condo,$618,2020,Neighborhood: Irvington,,,
"2339 Kinetic Cir #307,","Fremont, CA 94539","$1,289,000",3,3,"2,109",$505/mo,Condo,$611,2020,Neighborhood: East Industrial,37 days,521,2
"42111 Osgood Rd UNIT 525,","Fremont, CA 94539","$637,920",1,1,934,$480/mo,Condo,$683,2020,Neighborhood: Irvington,,,
"3888 Invent Ter UNIT 402,","Fremont, CA 94538","$1,010,404",3,2,"1,479",Covered,Condo,$683,2020,Neighborhood: East Industrial,,,
"44899 Challenge Cmn UNIT 302,","Fremont, CA 94538","$979,913",3,2,"1,528",Covered,Condo,$641,2020,Neighborhood: East Industrial,,,
"44868 Fremont Blvd UNIT 200,","Fremont, CA 94538","$860,000",2,2,"1,279",Covered,Condo,$672,2020,Neighborhood: East Industrial,,,
"3709 Innovation Cir #1004-B20,","Fremont, CA 94538","$1,252,434",4,4,"2,638",No Data,Townhouse,$475,No Data,Neighborhood: East Industrial,,,
"3768 Capitol Ave UNIT 400B,","Fremont, CA 94538","$968,000",3,2,"1,317",$606/mo,Condo,$735,2019,Neighborhood: Downtown,51 days,222,6
"41224 Fremont Blvd,","Fremont, CA 94538","$698,000",2,1,1,"4,861 sqft",Single Family,"$698,000",1940,Neighborhood: Irvington,382 days,"2,409",10
"2190 Burton Ave,","Pittsburg, CA 94565","$409,000",3,1,"1,033","5,031 sqft",Single Family,$396,1960,Neighborhood: 94565,14 days,"1,673",52
"515 Lancaster Ln APT 240,","Pittsburg, CA 94565","$249,000",2,2,884,$455/mo,Condo,$282,1989,Neighborhood: Bay Point,14 days,"1,483",31
"Buildable plan: Donato, Positano at San Marco,","Pittsburg, CA 94565",from ,5,3,"2,806",No Data,Single Family,$295,2020,Neighborhood: 94565,,,
"55 Pacifica Ave TRAILER 94,","Bay Point, CA 94565","$180,000",3,2,"1,114",Covered,Mobile / Manufactured,$162,No Data,Neighborhood: Bay Point,10 days,583,12
"207 Kona Cir,","Pittsburg, CA 94565","$109,000",2,2,"1,440",0 spaces,Mobile / Manufactured,$76,No Data,Neighborhood: 94565,10 days,685,13
"Buildable plan: Buckley, Liberty,","Pittsburg, CA 94565",from ,4,3,"1,955",No Data,Single Family,$338,2020,Neighborhood: 94565,,,
"Buildable plan: Carina, Positano at San Marco,","Pittsburg, CA 94565",from ,5,3,"2,770",No Data,Single Family,$288,2020,Neighborhood: 94565,,,
"Buildable plan: Abri, Positano at San Marco,","Pittsburg, CA 94565",from ,5,3,"2,384",No Data,Single Family,$337,2020,Neighborhood: 94565,,,
"2219 Old Creek Cir,","Pittsburg, CA 94565","$465,000",3,3,"1,621","4,029 sqft",Single Family,$287,1980,Neighborhood: 94565,8 days,"1,724",95
"2100 Greenwood Pl,","Pittsburg, CA 94565","$520,000",3,2,"1,342","8,102 sqft",Single Family,$387,1982,Neighborhood: 94565,8 days,"1,166",42
"456 Lancaster Ln,","Bay Point, CA 94565","$250,000",2,2,888,$310/mo,Condo,$282,1984,Neighborhood: Bay Point,8 days,"1,931",93
"3743 Park Pl,","Pittsburg, CA 94565","$499,888",3,2,"1,567","6,600 sqft",Single Family,$319,1978,Neighborhood: 94565,8 days,494,5
"17 Oakridge Ct,","Pittsburg, CA 94565","$500,000",3,2,"1,453","8,751 sqft",Single Family,$344,1974,Neighborhood: 94565,7 days,"1,211",36
"343 Egret Pl,","Pittsburg, CA 94565","$509,000",3,3,"1,919","4,238 sqft",Single Family,$265,1990,Neighborhood: Old Town Pittsburg,7 days,"2,392",148
"Buildable plan: Canon, Liberty,","Pittsburg, CA 94565",from ,4,3,"1,987",No Data,Single Family,$337,2020,Neighborhood: 94565,,,
"Buildable plan: Bella, Positano at San Marco,","Pittsburg, CA 94565",from ,4,3,"2,410",No Data,Single Family,$317,2020,Neighborhood: 94565,,,
"Buildable plan: Avalon, Liberty,","Pittsburg, CA 94565",from ,3,3,"1,814",No Data,Single Family,$344,2020,Neighborhood: 94565,,,
"Buildable plan: Delta, Liberty,","Pittsburg, CA 94565",from ,5,4,"2,487",No Data,Single Family,$302,2020,Neighborhood: 94565,,,
"1058 Jensen Cir,","Pittsburg, CA 94565","$475,000",3,2,"1,385","7,148 sqft",Single Family,$343,1971,Neighborhood: 94565,4 days,"1,222",32
"Buildable plan: Residence 2, Retreat at Vista Del Mar,","Pittsburg, CA 94565",from ,4,3,"2,022",No Data,Single Family,$330,2020,Neighborhood: 94565,,,
"3113 Rio Viejo Dr,","Bay Point, CA 94565","$640,000",4,2,"1,856","5,601 sqft",Single Family,$345,2012,Neighborhood: 94565,4 days,862,18
"6 Vista Diablo,","Pittsburg, CA 94565","$569,000",5,2,"1,844",0.29 Acres,Single Family,$309,1976,Neighborhood: 94565,4 days,"1,349",70
"Buildable plan: Coming Soon, Haven at Vista Del Mar,","Pittsburg, CA 94565",--,--,--,--,0 spaces,Single Family,No Data,2020,Neighborhood: 94565,,,
"137 E Trident Dr,","Pittsburg, CA 94565","$465,000",4,2,"1,204","3,101 sqft",Single Family,$386,1973,Neighborhood: 94565,4 days,"1,094",32
"Buildable plan: Residence 1, Retreat at Vista Del Mar,","Pittsburg, CA 94565",from ,3,3,"1,841",No Data,Single Family,$349,2020,Neighborhood: 94565,,,
"2233 Concord Dr,","Pittsburg, CA 94565","$520,000",3,2,"1,350","6,298 sqft",Single Family,$385,1985,Neighborhood: 94565,2 days,753,34
"1242 Metten Ave,","Pittsburg, CA 94565","$298,888",2,2,"1,834","8,250 sqft",Single Family,$163,1888,Neighborhood: 94565,2 days,"1,181",35
"Buildable plan: Residence 3, Retreat at Vista Del Mar,","Pittsburg, CA 94565",from ,4,3,"2,231",No Data,Single Family,$308,2020,Neighborhood: 94565,,,
"1043 Mepham Dr,","Pittsburg, CA 94565","$520,000",4,3,"1,996","3,990 sqft",Single Family,$261,1989,Neighborhood: 94565,1 day,448,11
"98 Liberty Ct,","Pittsburg, CA 94565","$624,285",3,2,1,No Data,Single Family,"$624,285",2020,Neighborhood: 94565,,,
"258 Altadena Cir,","Bay Point, CA 94565","$675,000",5,3,"2,734","5,880 sqft",Single Family,$247,2013,Neighborhood: 94565,1 day,470,19
"820 Sunnyview Dr,","Pinole, CA 94564","$478,000",3,1,913,"6,599 sqft",Single Family,$524,1954,Neighborhood: 94564,143 days,"2,309",22
"775 San Pablo Ave,","Pinole, CA 94564","$599,000",2,1,"1,113",0.28 Acres,Single Family,$538,1910,Neighborhood: 94564,100 days,"1,865",64
"912 Waterford Pl,","Pinole, CA 94564","$299,900",1,1,748,$475/mo,Condo,$401,1991,Neighborhood: 94564,45 days,"1,419",45
"2501 Samuel St,","Pinole, CA 94564","$580,000",3,2,"1,252","5,000 sqft",Single Family,$463,1918,Neighborhood: 94564,26 days,"3,491",115
"313 Dursey Dr,","Pinole, CA 94564","$365,000",2,2,996,$504/mo,Condo,$366,1991,Neighborhood: 94564,22 days,"2,048",42
"899 Fernandez Ave,","Pinole, CA 94564","$1,280,000",--,--,"3,142",0 spaces,Multiple Occupancy,$407,1968,Neighborhood: 94564,17 days,936,19
"1701 Marlesta Rd,","Pinole, CA 94564","$679,000",4,2,"1,656","6,943 sqft",Single Family,$410,1959,Neighborhood: 94564,14 days,"4,444",147
"320 Calais Dr,","Pinole, CA 94564","$549,000",3,2,"1,245","4,900 sqft",Single Family,$441,1954,Neighborhood: 94564,5 days,"1,989",64
"885 5th Ave,","Pinole, CA 94564","$1,250,000",--,--,"3,196",0 spaces,Multiple Occupancy,$391,1962,Neighborhood: 94564,4 days,188,4
"2520 Simas Ave,","Pinole, CA 94564","$849,000",4,3,"2,138","9,801 sqft",Single Family,$397,1968,Neighborhood: 94564,3 days,933,20
"3801 Pinole Valley Rd,","Pinole, CA 94564","$545,000",3,1,"1,063","6,899 sqft",Single Family,$513,1957,Neighborhood: 94564,2 days,520,10
"1747 Canyon Dr,","Pinole, CA 94564","$349,950",3,2,"1,044","8,102 sqft",Single Family,$335,1960,Neighborhood: 94564,1 day,"1,551",58
"271 Lomas Cantadas,","Orinda, CA 94563","$3,500,000",17.89 Acres,,17.89 Acres,Covered,Vacant Land,"$1,620",No Data,Neighborhood: 94563,185 days,752,5
"3 Woodland Rd,","Orinda, CA 94563","$2,149,000",3,2,"1,546",1.02 Acres,Single Family,"$1,390",1920,Neighborhood: 94563,162 days,"1,249",23
"5 Berrybrook Holw,","Orinda, CA 94563","$2,150,000",4,4,"3,332",1.32 Acres,Single Family,$645,1996,Neighborhood: 94563,148 days,"2,249",63
"10 Kittiwake Rd,","Orinda, CA 94563","$2,289,000",6,5,"4,436",0.46 Acres,Single Family,$516,1953,Neighborhood: 94563,134 days,"1,546",44
"20 Oak Ct,","Orinda, CA 94563","$875,000",0.95 Acres,,0.95 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94563,128 days,485,6
"63 Scenic Dr,","Orinda, CA 94563","$550,000",1.518 Acres,,1.518 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94563,107 days,866,11
"10 La Punta,","Orinda, CA 94563","$6,250,000",5,7,"7,199",0.87 Acres,Single Family,$868,1940,Neighborhood: 94563,101 days,"2,913",64
"70 Adobe Ln,","Orinda, CA 94563","$3,959,000",4,5,"4,232",1.93 Acres,Single Family,$935,No Data,Neighborhood: 94563,99 days,"1,401",7
"1 Aghalee Rd,","Orinda, CA 94563","$2,195,000",4,4,"2,950",0.81 Acres,Single Family,$744,1966,Neighborhood: 94563,95 days,"2,164",45
"2 Dolores Way,","Orinda, CA 94563","$1,699,000",10.4 Acres,,10.4 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94563,87 days,"1,177",15
"130 Fiesta Cir,","Orinda, CA 94563","$1,799,900",4,3,"2,837","10,010 sqft",Single Family,$634,1957,Neighborhood: 94563,86 days,"3,316",46
"253 Manzanita Dr,","Orinda, CA 94563","$1,895,000",4,4,"2,591",0.27 Acres,Single Family,$731,1952,Neighborhood: 94563,77 days,"2,780",63
"92 Monkeyflower Ln,","Orinda, CA 94563","$2,283,900",4,6,"4,147",0.47 Acres,Single Family,$551,2020,Neighborhood: 94563,,,
"15 Manzanita Ter,","Orinda, CA 94563","$1,599,950",4,3,"2,826",0.67 Acres,Single Family,$566,1976,Neighborhood: 94563,75 days,869,16
"29 Crescent Dr,","Orinda, CA 94563","$1,799,000",6,4,"3,299",0.27 Acres,Single Family,$545,1961,Neighborhood: 94563,56 days,"2,121",14
"33 Dias Dorados,","Orinda, CA 94563","$4,350,000",6,8,"6,244",1.61 Acres,Single Family,$697,1937,Neighborhood: 94563,48 days,"1,519",21
"32 Heather Ln,","Orinda, CA 94563","$1,699,000",6,5,"4,048",0.80 Acres,Single Family,$420,1980,Neighborhood: 94563,43 days,"3,867",67
"9 La Noria,","Orinda, CA 94563","$1,698,000",3,3,"3,034",0.48 Acres,Single Family,$560,1938,Neighborhood: 94563,40 days,"3,287",63
"6 Patrick Ln,","Orinda, CA 94563","$949,000",1.21 Acres,,1.21 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94563,31 days,523,9
"28 Sunnyside Ct,","Orinda, CA 94563","$1,550,000",4,3,"2,170",0.59 Acres,Single Family,$714,1980,Neighborhood: 94563,28 days,"5,280",125
"46 El Gavilan Rd,","Orinda, CA 94563","$1,795,000",5,2,"2,859","8,398 sqft",Single Family,$628,1954,Neighborhood: 94563,25 days,"3,247",92
"Park Lane Dr,","Orinda, CA 94563","$850,000",5.24 Acres,,5.24 Acres,0 spaces,Vacant Land,$4,No Data,Neighborhood: 94563,22 days,"1,091",37
"42 Oak Rd,","Orinda, CA 94563","$1,595,000",4,3,"2,860",0.28 Acres,Single Family,$558,1998,Neighborhood: 94563,18 days,"5,476",126
"67 Underhill Rd,","Orinda, CA 94563","$225,000","6,621 Square Feet",,"6,621 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94563,15 days,637,6
"56 Via Floreado,","Orinda, CA 94563","$2,595,000",5,5,"4,248",0.54 Acres,Single Family,$611,1989,Neighborhood: 94563,13 days,"2,341",53
"42 Charles Hill Cir,","Orinda, CA 94563","$625,000",0.597 Acres,,0.597 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94563,11 days,353,8
"2 Camino Del Cielo,","Orinda, CA 94563","$2,288,000",4,4,"4,083",0.87 Acres,Single Family,$560,2008,Neighborhood: 94563,11 days,"4,691",215
"67 Brookwood Rd APT 3,","Orinda, CA 94563","$550,000",2,1,897,$290/mo,Condo,$613,1963,Neighborhood: 94563,8 days,"1,023",24
"3 Mira Loma Rd,","Orinda, CA 94563","$2,100,000",5,4,"3,041",0.25 Acres,Single Family,$691,1926,Neighborhood: 94563,6 days,"2,826",146
"Buildable plan: Austere, Duarte Ranch,","Oakley, CA 94561",from ,4,3,"2,224",No Data,Single Family,$321,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 5, Southport at Delaney Park,","Oakley, CA 94561",from ,5,5,"3,547",No Data,Single Family,$199,2020,Neighborhood: 94561,,,
"270 Robinwood Ave,","Oakley, CA 94561","$465,000",3,3,"1,558","5,401 sqft",Single Family,$298,1989,Neighborhood: 94561,9 days,"2,198",90
"Buildable plan: Plan 4, Westerly at Delaney Park,","Oakley, CA 94561",from ,4,3,"2,475",No Data,Single Family,$250,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 1, Northpoint at Delaney Park,","Oakley, CA 94561",from ,3,3,"1,631",No Data,Single Family,$328,2020,Neighborhood: 94561,,,
"Buildable plan: Fino, Duarte Ranch,","Oakley, CA 94561",from ,5,4,"3,297",No Data,Single Family,$265,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 3, Easton at Delaney Park,","Oakley, CA 94561",from ,4,4,"2,803",No Data,Single Family,$221,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 2, Easton at Delaney Park,","Oakley, CA 94561",from ,4,3,"2,671",No Data,Single Family,$227,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 4, Northpoint at Delaney Park,","Oakley, CA 94561",from ,4,3,"2,261",No Data,Single Family,$264,2020,Neighborhood: 94561,,,
"Buildable plan: Douro, Duarte Ranch,","Oakley, CA 94561",from ,4,3,"2,753",No Data,Single Family,$304,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 2, Southport at Delaney Park,","Oakley, CA 94561",from ,4,4,"2,648",No Data,Single Family,$240,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 3, Alicante,","Oakley, CA 94561",from ,4,3,"2,333",No Data,Single Family,$246,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 4, Alicante,","Oakley, CA 94561",from ,5,3,"2,512",No Data,Single Family,$235,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 2, Northpoint at Delaney Park,","Oakley, CA 94561",from ,3,3,"1,818",No Data,Single Family,$305,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 4, Southport at Delaney Park,","Oakley, CA 94561",from ,5,4,"3,301",No Data,Single Family,$209,2020,Neighborhood: 94561,,,
"Buildable plan: Plan 1478, Ashbury,","Oakley, CA 94561",from ,3,2,"1,478",No Data,Single Family,$344,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 1, Easton at Delaney Park,","Oakley, CA 94561",from ,4,3,"2,374",No Data,Single Family,$249,2020,Neighborhood: 94561,,,
"Buildable plan: Plan 3 Modeled, Westerly at Delaney Park,","Oakley, CA 94561",from ,3,3,"2,297",No Data,Single Family,$265,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 3, Southport at Delaney Park,","Oakley, CA 94561",from ,5,4,"2,809",No Data,Single Family,$229,2020,Neighborhood: 94561,,,
"Buildable plan: Plan 2211, Ashbury,","Oakley, CA 94561",from ,3,3,"2,211",No Data,Single Family,$257,2020,Neighborhood: 94561,,,
"621 Pipa Ln,","Oakley, CA 94561","$579,095",4,3,"2,211","4,151 sqft",Single Family,$262,2020,Neighborhood: 94561,5 days,103,3
"Buildable plan: Seth, Middlefield at Delaney Park,","Oakley, CA 94561",from ,4,3,"3,030",No Data,Single Family,$223,2020,Neighborhood: 94561,,,
"Buildable plan: Alexa, Middlefield at Delaney Park,","Oakley, CA 94561",from ,4,3,"3,020",No Data,Single Family,$220,2020,Neighborhood: 94561,,,
"Buildable plan: Coming Soon, The Vines,","Oakley, CA 94561",--,--,--,--,0 spaces,Single Family,No Data,2020,Neighborhood: 94561,,,
"Buildable plan: Plan 5, Westerly at Delaney Park,","Oakley, CA 94561",from ,3,2,"1,627",No Data,Single Family,$337,2020,Neighborhood: 94561,,,
"Buildable plan: Plan 1 Modeled, Westerly at Delaney Park,","Oakley, CA 94561",from ,3,2,"1,803",No Data,Single Family,$316,2020,Neighborhood: 94561,,,
"Buildable plan: Plan 2012, Ashbury,","Oakley, CA 94561",from ,3,3,"2,012",No Data,Single Family,$273,2020,Neighborhood: 94561,,,
"Buildable plan: Andrea, Middlefield at Delaney Park,","Oakley, CA 94561",from ,3,3,"2,840",No Data,Single Family,$229,2020,Neighborhood: 94561,,,
"Buildable plan: Residence 1, Alicante,","Oakley, CA 94561",from ,3,3,"1,835",No Data,Single Family,$293,2020,Neighborhood: 94561,,,
"Buildable plan: Plan 1854, Ashbury,","Oakley, CA 94561",from ,3,3,"1,854",No Data,Single Family,$291,2020,Neighborhood: 94561,,,
"1780 Edgewood Dr,","Oakley, CA 94561","$439,900",3,2,"1,176","5,998 sqft",Single Family,$374,1974,Neighborhood: 94561,2 days,"1,483",88
"1105 Deerpark Rd,","Oakley, CA 94561","$499,900",3,2,"1,320","6,507 sqft",Single Family,$379,1994,Neighborhood: 94561,2 days,723,30
